N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,128,128,18,50,3.983984,3.981824,3.989696,no_pf_tma_smem,4.203232,1.054579,5.1754,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,128,128,18,50,4.071056,4.065920,4.073264,no_pf_tma_smem,4.203232,1.032265,3.1257,no_pf_cta_nc_actcomp_smem,0.979317,-2.1120
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,128,128,18,50,4.098768,4.087456,4.110992,no_pf_tma_smem,4.203232,1.025046,2.4434,no_pf_cta_nc_actcomp_smem,0.971995,-2.8811
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,18,50,4.070016,4.061296,4.086464,no_pf_tma_smem,4.203232,1.032287,3.1277,no_pf_cta_nc_actcomp_smem,0.978862,-2.1594
512,128,512,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,18,50,4.203232,4.201424,4.204688,no_pf_tma_smem,4.203232,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,18,50,4.169264,4.168688,4.198048,no_pf_tma_smem,4.203232,1.008287,0.8218,no_pf_tma_smem,1.008287,0.8218
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf128x2_current_lead1_tma_smem,3,128,128,18,50,4.227664,4.177920,4.233872,no_pf_tma_smem,4.203232,0.994221,-0.5813,no_pf_tma_smem,0.994221,-0.5813
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,18,50,4.097696,4.093120,4.126656,no_pf_tma_smem,4.203232,1.026110,2.5446,no_pf_tma_smem,1.026110,2.5446
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,18,50,4.170384,4.165136,4.179584,no_pf_tma_smem,4.203232,1.007443,0.7388,no_pf_tma_smem,1.007443,0.7388
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,18,50,4.107216,4.095264,4.118144,no_pf_tma_smem,4.203232,1.023732,2.3182,no_pf_tma_smem,1.023732,2.3182
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf64x4_current_lead1_tma_smem,3,128,128,18,50,4.382800,4.367504,4.387616,no_pf_tma_smem,4.203232,0.959029,-4.2721,no_pf_tma_smem,0.959029,-4.2721
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf64x4_current_wait0_lead1_async_tma_smem,3,128,128,18,50,4.311488,4.290384,4.325808,no_pf_tma_smem,4.203232,0.974472,-2.6197,no_pf_tma_smem,0.974472,-2.6197
512,128,512,actcomp,actcomp_warp_diagnostic,warp_direct,no_pf_direct,3,128,128,18,50,37.209549,35.690269,37.252258,not_comparable,,,,no_pf_direct,1.000000,0.0000
512,128,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf128_current_direct,3,128,128,18,50,35.338207,33.616753,35.390144,not_comparable,,,,no_pf_direct,1.054164,5.1381
