gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.090688,4809427,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.755411,1.755411,1.755411,0.493709,2.249120,2.249120,1.755411,845.339949,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.118160,4886597,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,7307264,1770979328,1.732643,1.732643,1.732643,0.487306,2.219949,2.219949,3.449817,836.093270,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.133712,4918050,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,7307264,1770979328,1.720015,1.720015,1.720015,0.483754,2.203769,2.203769,3.424672,829.999214,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.180768,5075499,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,7307264,1770979328,1.682901,1.682901,1.682901,0.473316,2.156217,2.156217,3.350775,812.089740,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.248208,5234769,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.632418,52.237386,52.237386,0.000000,0.000000,0.000000,1.632418,832.533343,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.280112,5297108,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.609577,51.506466,51.506466,0.000000,0.000000,0.000000,1.609577,820.884297,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.076000,4769945,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.767830,1.767830,1.767830,0.497202,2.265033,2.265033,1.767830,851.320760,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.132592,4969546,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.720918,1.720918,1.720918,0.484008,2.204926,2.204926,1.720918,828.729505,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.944256,4474281,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,0,1756332032,1.887620,1.887620,1.887620,0.530893,0.530893,0.530893,0.000000,903.344045,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.946160,4483163,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.885773,1.885773,1.885773,0.530374,0.530374,0.530374,1.885773,904.346038,0x6de879f08627afd3
