gpu,sms,path,method,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.184560,7211441,3758096384,469762048,58720256,1879048192,1879048192,116916224,9.494654,303.828930,303.828930,18.904534,693.109746,987.444022,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.147472,6973259,3758096384,469762048,58720256,1879048192,1879048192,116916224,9.551935,305.661917,305.661917,19.018585,697.291248,993.401230,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.187824,7142220,3758096384,469762048,58720256,1879048192,1879048192,116916224,9.489645,303.668643,303.668643,18.894561,692.744092,986.923089,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.512896,8447545,3758096384,469762048,58720256,1879048192,58720256,0,9.015998,288.511927,9.015998,0.000000,658.167833,937.663762,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.404064,7232993,3758096384,469762048,58720256,1879048192,58720256,58720256,9.169217,293.414953,9.169217,9.169217,669.352862,953.598598,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.418144,7199867,3758096384,469762048,58720256,1879048192,58720256,58720256,9.149102,292.771263,9.149102,9.149102,667.884444,951.506605,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.432272,7196373,3758096384,469762048,58720256,1879048192,58720256,116916224,9.129007,292.128225,9.129007,18.176505,666.417514,949.416732,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.479536,7266289,3758096384,469762048,58720256,1879048192,58720256,116916224,9.062417,289.997336,9.062417,18.043919,661.556422,942.491341,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.522192,7335078,3758096384,469762048,58720256,1879048192,58720256,116916224,9.003147,288.100717,9.003147,17.925910,657.229761,936.327330,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,4.857264,6975000,3758096384,469762048,58720256,1879048192,1879048192,0,12.089163,386.853211,386.853211,0.000000,882.508888,1257.272936,0x88462bac2fafd99a
