N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
512,128,128,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,18,50,4.205504,4.202080,4.207216,no_pf_tma_smem,4.205504,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
512,128,128,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,18,50,4.178816,4.139968,4.183536,no_pf_tma_smem,4.205504,1.006796,0.6750,no_pf_tma_smem,1.006796,0.6750
512,128,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,18,50,4.093520,4.089488,4.119552,no_pf_tma_smem,4.205504,1.026520,2.5835,no_pf_tma_smem,1.026520,2.5835
512,128,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,18,50,4.168352,4.167904,4.185024,no_pf_tma_smem,4.205504,1.008091,0.8027,no_pf_tma_smem,1.008091,0.8027
512,128,128,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,18,50,4.107104,4.089312,4.110736,no_pf_tma_smem,4.205504,1.023125,2.2602,no_pf_tma_smem,1.023125,2.2602
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,128,128,18,50,3.987952,3.985600,3.994320,no_pf_tma_smem,4.196832,1.052378,4.9771,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,128,128,18,50,4.080880,4.051616,4.083376,no_pf_tma_smem,4.196832,1.028413,2.7628,no_pf_cta_nc_actcomp_smem,0.978191,-2.2296
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,128,128,18,50,4.101280,4.097472,4.117296,no_pf_tma_smem,4.196832,1.024249,2.3675,no_pf_cta_nc_actcomp_smem,0.971794,-2.9024
512,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,18,50,4.078992,4.063872,4.084416,no_pf_tma_smem,4.196832,1.028889,2.8078,no_pf_cta_nc_actcomp_smem,0.977942,-2.2556
512,128,512,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,18,50,4.196832,4.196816,4.201488,no_pf_tma_smem,4.196832,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,18,50,4.168848,4.147392,4.178432,no_pf_tma_smem,4.196832,1.007830,0.7769,no_pf_tma_smem,1.007830,0.7769
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,18,50,4.088224,4.082256,4.115616,no_pf_tma_smem,4.196832,1.026562,2.5875,no_pf_tma_smem,1.026562,2.5875
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,18,50,4.176320,4.163856,4.191136,no_pf_tma_smem,4.196832,1.004912,0.4887,no_pf_tma_smem,1.004912,0.4887
512,128,512,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,18,50,4.100992,4.089216,4.113904,no_pf_tma_smem,4.196832,1.023366,2.2833,no_pf_tma_smem,1.023366,2.2833
512,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,384,384,3,25,12.250561,12.242111,12.336320,no_pf_tma_smem,12.667616,1.030768,2.9850,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
512,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,384,384,3,25,12.084703,12.065664,12.212064,no_pf_tma_smem,12.667616,1.046564,4.4492,no_pf_cta_nc_actcomp_smem,1.013025,1.2858
512,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,384,384,3,25,11.870640,11.843103,12.002928,no_pf_tma_smem,12.667616,1.063758,5.9937,no_pf_cta_nc_actcomp_smem,1.032005,3.1013
512,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,384,384,3,25,11.965055,11.962193,12.075184,no_pf_tma_smem,12.667616,1.055616,5.2686,no_pf_cta_nc_actcomp_smem,1.023155,2.2631
512,384,0,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,384,384,3,25,12.667616,12.627488,12.710848,no_pf_tma_smem,12.667616,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
512,384,0,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,384,384,3,25,12.072256,12.054288,12.141665,no_pf_tma_smem,12.667616,1.046878,4.4779,no_pf_tma_smem,1.046878,4.4779
512,384,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,384,384,3,25,11.874928,11.863487,11.982336,no_pf_tma_smem,12.667616,1.064399,6.0503,no_pf_tma_smem,1.064399,6.0503
512,384,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,384,384,3,25,12.150288,12.078720,12.172512,no_pf_tma_smem,12.667616,1.044226,4.2352,no_pf_tma_smem,1.044226,4.2352
512,384,0,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,384,384,3,25,11.877439,11.851040,11.957600,no_pf_tma_smem,12.667616,1.065517,6.1489,no_pf_tma_smem,1.065517,6.1489
512,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,384,384,3,25,12.282528,12.261007,12.355345,no_pf_tma_smem,12.658319,1.030492,2.9589,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
512,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,384,384,3,25,12.121103,12.081504,12.208752,no_pf_tma_smem,12.658319,1.044321,4.2440,no_pf_cta_nc_actcomp_smem,1.012007,1.1865
512,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,384,384,3,25,11.919952,11.913216,12.016272,no_pf_tma_smem,12.658319,1.060445,5.6999,no_pf_cta_nc_actcomp_smem,1.029194,2.8366
512,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,384,384,3,25,11.988512,11.974607,12.095088,no_pf_tma_smem,12.658319,1.055604,5.2675,no_pf_cta_nc_actcomp_smem,1.022730,2.2225
512,384,128,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,384,384,3,25,12.658319,12.640448,12.732080,no_pf_tma_smem,12.658319,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
512,384,128,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,384,384,3,25,12.111408,12.110144,12.184656,no_pf_tma_smem,12.658319,1.044927,4.2996,no_pf_tma_smem,1.044927,4.2996
512,384,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,384,384,3,25,11.919920,11.912656,12.008336,no_pf_tma_smem,12.658319,1.061094,5.7576,no_pf_tma_smem,1.061094,5.7576
512,384,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,384,384,3,25,12.157488,12.111456,12.209743,no_pf_tma_smem,12.658319,1.042780,4.1025,no_pf_tma_smem,1.042780,4.1025
512,384,128,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,384,384,3,25,11.921856,11.883137,11.999952,no_pf_tma_smem,12.658319,1.061774,5.8180,no_pf_tma_smem,1.061774,5.8180
512,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,384,384,3,25,12.287888,12.261040,12.369265,no_pf_tma_smem,12.661264,1.030267,2.9378,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
